Gene1,Gene2,Resource
4628,5096,literature
1634,4869,metabolic
3553,3705,literature;signaling
694,4942,literature
1661,4350,binary;literature
1029,2775,literature;signaling
1069,3034,metabolic
2693,4403,literature
854,3068,binary;literature;signaling
2187,5056,literature
4404,4413,binary
2029,4273,literature
4776,5133,literature
1891,5259,literature;signaling
4194,4194,literature
1549,3434,literature;signaling
933,2029,literature
2120,3320,literature
78,4605,binary;literature;signaling
1159,4027,literature
5384,5554,complexes;literature
14,1002,binary;literature
3035,4165,literature
4946,4946,binary
198,4776,literature
3792,3807,complexes
3994,5072,metabolic
1780,5245,literature;signaling
2026,4404,binary;literature;signaling
1003,3506,binary;literature
198,2802,literature
1085,2200,literature;signaling
3630,4735,complexes
2002,4141,literature
2618,2796,literature;signaling;kinase
462,2690,literature
198,3807,complexes
484,1109,metabolic
837,5111,metabolic
2428,2796,literature;signaling
1219,5559,literature
4068,5392,literature;signaling
1539,4494,binary;literature
3801,5418,literature
647,3434,kinase
1501,2871,literature;signaling
2313,5426,binary
4582,5113,metabolic
4161,5464,literature
1798,1821,binary;literature
292,4077,complexes;literature;signaling
2203,4121,literature;signaling
2674,5240,binary
181,2096,literature
4309,5099,literature
1810,2353,literature
327,2188,literature;signaling
1572,4702,literature;signaling
1830,3793,complexes;literature
455,3407,kinase
1351,2668,binary;literature;signaling
2489,3325,literature;signaling
911,911,binary;literature
1017,1856,literature;signaling
310,4554,complexes
870,4142,binary;literature
3407,3419,kinase
3801,3816,complexes
948,948,literature
3439,5099,literature
3523,3847,literature;signaling
2305,4129,binary
2947,2967,literature
631,4110,literature;signaling
1029,3769,literature
547,3024,literature
188,238,metabolic
1023,3434,literature;signaling;kinase
2478,3814,literature
2719,3423,kinase
2063,2154,metabolic
3434,3612,literature;signaling
582,981,literature
158,792,literature;signaling
798,3266,binary
3198,3198,literature
2002,3775,literature
41,1833,kinase
4176,5062,literature
3038,5438,literature
1135,2194,binary;literature;signaling
379,1881,literature;signaling
833,5559,literature
189,1981,complexes
933,3863,literature;signaling
1567,5161,metabolic
2802,3804,literature
250,4082,complexes
1364,4142,literature;signaling
1622,3929,complexes
1325,3789,literature
3329,4205,literature
3784,3798,complexes
60,1977,kinase
4161,4310,literature;signaling
900,3194,literature;signaling
799,2867,literature
3839,4997,binary;literature;signaling
3593,4307,binary
2103,3086,literature;signaling
1751,3444,binary;literature;signaling
3764,4568,binary
2101,2176,literature;signaling
1502,3472,literature;signaling
1695,2111,literature;signaling
3789,5503,literature
1326,2997,literature
924,3801,literature
326,2747,literature;signaling
1543,1780,literature
95,3746,literature
1402,4781,signaling
1702,2575,metabolic
1226,5314,literature
2707,3493,literature
2222,2426,literature;signaling
4455,4789,literature;signaling
348,348,literature
919,922,literature;signaling
972,2844,metabolic
997,1972,regulatory
133,3804,literature
902,4816,literature;signaling
508,2202,complexes
448,3397,kinase
69,69,literature
4082,4365,binary;literature
787,788,complexes;literature
3369,3977,kinase
2640,3681,binary;literature;signaling
69,2111,literature;signaling
4847,4847,binary;literature
2628,4265,regulatory
2014,4325,literature;signaling
3090,4673,literature;signaling
1780,2161,literature
1947,4337,literature
4903,4911,literature
3434,3725,literature;signaling;kinase
1780,2374,literature
735,2406,metabolic
3679,3918,literature
3583,4269,signaling
1571,4793,literature
1505,2308,literature;signaling
950,3961,literature;signaling
2718,5123,literature
1381,2311,literature
1071,4722,literature
798,5037,literature
1279,5179,complexes;literature;signaling
1326,3791,literature
1404,2200,literature
3112,4204,complexes
373,3845,binary;literature;signaling
2019,4243,metabolic
3067,4343,binary
85,3921,literature;signaling
713,3143,literature
1404,3705,literature;signaling;kinase
3949,4145,literature;signaling
1149,3744,literature;signaling
13,3434,kinase
934,4270,regulatory
2204,4448,literature
476,476,literature
3789,5505,literature
60,455,kinase
748,2550,metabolic
4453,4560,literature
82,5074,literature;signaling
1900,3229,metabolic
2009,4713,literature
795,4446,signaling
3048,3478,literature
2466,3434,kinase
838,2227,literature;signaling
3786,3806,complexes;literature
3680,4517,binary;literature;signaling
2353,2707,complexes;literature;signaling
2220,5269,literature
1078,1079,literature;signaling
1325,4101,literature
2505,3435,literature;kinase
2978,3804,complexes
4979,5096,signaling
2013,4232,literature;signaling
90,4404,literature;signaling
907,2659,literature;signaling;kinase
3067,3689,literature;signaling
252,3788,literature
85,4548,signaling
2656,2666,complexes
717,3681,literature;signaling
2302,5478,binary
1762,4136,literature
547,3918,literature;signaling
368,3488,metabolic
789,1973,metabolic
2351,2351,literature
1681,5344,complexes
2704,4750,literature;signaling;kinase
2722,4306,literature
3419,3502,kinase
139,3383,literature;signaling
2596,4124,literature
2426,2698,literature
581,2171,regulatory
903,3805,signaling
2694,3515,literature
933,1114,binary;literature
1023,2998,literature
2729,4211,literature;signaling
5353,5411,literature;signaling
1854,2967,metabolic
1182,4786,complexes
3028,4248,binary;literature;signaling
3790,5488,literature
1191,3979,binary
480,611,binary
1325,5506,complexes
1090,3962,literature;signaling
27,5071,signaling
887,3615,literature
3439,3962,kinase
2638,3532,complexes
1820,2765,literature
2703,2719,complexes
1877,1877,literature
871,2176,literature;signaling;kinase
1256,3030,binary;literature
2128,2129,complexes;literature;signaling;binary
502,934,regulatory
2008,4098,literature
591,4716,literature
1916,5489,signaling
5051,5339,literature;signaling
340,1947,literature
161,161,literature
2969,3059,literature;signaling
180,337,complexes
2401,4473,literature;signaling
923,3979,binary
1335,3444,literature
3806,3809,complexes
1782,3434,literature;signaling;kinase
3801,3808,complexes
4205,4405,literature
1804,3397,literature;signaling;kinase
98,1780,binary;literature
5366,5367,literature
88,4363,literature;signaling
2140,2305,binary
3640,4872,complexes
1387,3098,literature
2008,2560,literature
4140,4789,literature
3397,5445,kinase
3789,3813,complexes
2476,5495,literature
3816,4401,complexes
1404,5000,binary;literature
391,4238,literature;signaling;kinase
1141,4455,binary;literature;signaling
3871,3871,binary;literature
821,2492,binary
5218,5259,binary;literature;signaling
4992,4992,binary
721,4205,literature
680,2600,literature
180,3799,complexes
470,2610,literature
462,1264,literature
998,2173,literature;signaling
3705,4847,literature;signaling
2796,3575,literature
647,2187,literature;signaling;kinase
1345,2427,complexes;literature;signaling
1455,4205,literature
3091,3755,literature
198,3793,complexes;literature
387,1780,literature;signaling
581,5366,binary;literature;signaling
1296,3788,literature
3435,4052,literature
2308,2347,literature;signaling
1109,2357,metabolic
954,3413,literature
1032,1317,literature
2464,3898,literature;signaling
3365,5379,literature;signaling;kinase
140,3736,literature;signaling
80,5253,literature
716,5529,binary;literature;signaling
954,1782,literature;signaling
2653,2663,complexes
854,5314,binary;literature;signaling
1916,2801,literature
2648,2654,complexes
1288,1313,literature
3434,3447,literature;signaling;kinase
1057,2719,literature
3035,3434,kinase
285,705,binary
1804,4405,literature
3216,5519,binary;literature;signaling
1311,1800,signaling
252,1820,literature
154,2161,literature
1114,3180,binary
2679,3434,literature
1404,2399,binary;literature
3807,4383,complexes
1251,1920,complexes
3813,4793,literature
1842,4238,binary;literature;signaling;kinase
68,991,literature;signaling
842,2222,literature
513,2111,literature;signaling
2657,3437,complexes
2628,4226,literature;signaling
2105,5445,literature;signaling
4098,4217,complexes
614,4072,literature;signaling
90,2428,literature;signaling
799,2865,literature;signaling
51,3074,literature
681,3626,literature;signaling
1780,3305,literature
3178,4120,kinase
2056,5038,binary
3788,4776,literature
1001,3899,binary;literature
135,164,complexes
3977,4031,metabolic
799,2633,complexes
5240,5349,literature
1482,4965,literature
2427,4082,complexes
3186,4731,complexes;literature
3861,4176,literature
1051,2525,literature
3692,5110,literature
1802,1804,literature;signaling
677,3735,literature
2482,2984,literature
3081,4455,literature;signaling
4137,4142,literature;signaling;kinase
1001,3630,binary;literature
537,3099,literature;signaling
3086,4457,literature
1592,5503,literature
3681,4306,literature
1595,3680,literature;signaling
2796,4171,kinase
2494,3423,kinase
4373,4397,literature;signaling
1316,4943,metabolic
3434,4325,literature;signaling;kinase
2167,2167,binary
2426,4403,binary;literature;signaling
3809,4455,literature
1814,2188,literature;signaling
3784,3787,complexes
645,901,literature;signaling
3347,4890,complexes
5529,5529,literature
1126,1126,binary;literature
1006,3918,literature;signaling;kinase
49,3705,literature;signaling
4294,4300,literature;signaling
3434,5523,literature;signaling;kinase
4405,4447,literature
2282,2284,literature;signaling
2331,3733,regulatory
154,4086,literature;signaling
252,3295,literature
4491,5439,literature;signaling
3746,4404,literature
2416,2936,literature;signaling
2369,3439,kinase
1664,2678,complexes;literature;metabolic
1088,3034,metabolic
3786,3793,complexes;literature
282,462,literature
1326,4793,literature
831,4325,literature;signaling
2801,4193,literature;kinase
3810,5505,literature
1057,1068,complexes;literature;signaling;binary
851,5352,literature;signaling
3395,5444,literature;signaling
518,4537,literature
3700,4895,signaling
2249,4102,literature
198,2867,literature
5,3064,literature
1881,2785,literature;signaling
1320,1797,literature
583,2184,literature
1018,4780,literature;signaling
82,5509,complexes
2905,4994,literature
580,1818,literature;signaling
1858,1858,binary;literature
722,2445,metabolic
1006,4147,literature;signaling;kinase
798,4343,binary;signaling
1182,1325,complexes
4027,4936,binary;literature
2176,3399,literature;signaling;kinase
2525,3801,literature
1006,3397,kinase
581,720,regulatory
1032,1032,literature
4147,4248,literature
4046,4193,literature
912,984,literature
2648,2861,complexes;literature
69,4176,literature;signaling
168,5157,binary
977,5289,literature
4191,4878,literature
2600,3428,literature
2571,4120,literature;signaling
2,2223,literature;signaling
228,3483,literature
1995,2425,literature;signaling
598,4990,binary;literature
2425,4054,literature
4447,4571,binary;literature
2804,3423,kinase
774,1699,metabolic
1569,1672,binary;literature;signaling
2385,3099,literature;signaling
4491,5430,literature
4230,5520,complexes
601,3810,complexes
2472,4115,literature
117,4914,literature
1000,1554,binary;literature;signaling
85,2222,literature
1932,4159,literature
1023,1810,literature;signaling
1022,2850,metabolic
582,5079,literature;signaling
3451,4205,literature;signaling
2088,4256,regulatory
598,1404,binary;literature;signaling;kinase
4038,5055,metabolic
794,1326,literature
2426,3570,binary;literature;signaling
946,4414,literature
1148,1817,literature;signaling
1389,3002,complexes
1780,1782,binary;literature
542,794,literature
4092,4177,complexes;literature;signaling
449,3163,literature;signaling
2104,2105,complexes;literature
1129,4720,literature;signaling
1064,4163,literature;signaling
840,2747,literature;signaling
2978,3788,complexes
1004,1068,literature
295,1895,literature
1225,4990,literature;signaling
1296,3791,literature
164,4786,complexes
855,4319,literature
133,3850,literature
498,815,binary;literature
2684,3060,literature;signaling
1345,5200,regulatory
393,5394,literature
4436,4437,literature;signaling
480,1470,binary
3531,4646,binary
2119,2567,literature
859,4377,binary;literature
2690,3450,literature
4864,5147,literature
2183,4166,literature;signaling
1976,3044,binary;literature
3805,3808,complexes
152,3830,binary
3696,4147,literature;signaling
1006,2431,literature
4323,4566,literature
2654,3184,complexes
5039,5241,binary
86,1935,literature
1622,4776,literature
1916,5065,signaling
583,3411,kinase
1615,4223,regulatory
2523,3639,literature;signaling
847,1780,binary;literature
3304,3787,literature
2461,4629,literature
5098,5553,literature;signaling
3681,5297,literature
3804,5224,literature
4076,4217,complexes
1482,2693,literature;signaling
14,1780,literature;signaling
3746,4337,literature;signaling
168,4938,binary;literature
1229,2432,binary;literature;signaling
1844,4750,signaling
2674,5464,binary
3198,3824,complexes
3744,3858,literature
146,2201,binary;literature
2147,2147,literature
4054,4063,literature;signaling
1780,3628,literature
4325,4518,literature;signaling
5509,5509,literature
23,328,literature
70,2384,kinase
1298,3878,literature;signaling
1659,1659,literature
2178,4403,literature
1674,1836,metabolic
1278,4598,binary;literature;signaling
716,2423,literature;signaling
3939,3939,binary;literature
3109,4453,literature
799,3789,complexes;literature
598,4326,binary;literature
2002,4341,literature
1571,4548,complexes
3598,4145,literature
666,4296,literature;signaling
1780,1995,binary;literature
3060,3730,kinase
82,3492,kinase
984,2697,literature
204,647,literature;signaling;kinase
1920,4453,literature
1292,4005,binary;literature
2980,3419,kinase
3746,4189,complexes
634,2416,literature;signaling;kinase
2188,3512,literature
1501,4082,complexes
632,2492,binary
981,2600,literature;signaling
1381,3702,signaling
3247,3411,binary
966,981,literature
3947,4326,binary
926,4149,complexes
1995,2222,literature;signaling
1026,3639,literature
1573,4717,metabolic
1036,4090,binary;literature;signaling
583,1972,literature;signaling
4100,4965,complexes;literature
4612,4612,literature
2474,3794,literature
706,3705,binary;literature;signaling
1780,3978,binary;literature
1539,3399,literature
2014,3921,literature;signaling
984,2427,literature;signaling
194,4068,literature;signaling
2588,3220,binary;literature;signaling
3434,5033,literature;signaling
799,1410,complexes
1296,1313,literature
1920,3225,literature;signaling
599,2416,literature;signaling
581,4492,signaling
178,3694,literature
1381,2488,literature
1895,2703,complexes
3434,3864,literature;signaling
2222,4449,literature;signaling
154,1681,complexes
517,781,literature
1135,2204,literature
3564,4803,complexes
2852,5394,literature
2180,4414,literature
189,271,literature
575,1062,metabolic
160,2188,literature;signaling
60,3596,kinase
1404,4142,binary;literature;signaling;kinase
2432,3938,binary;literature;signaling
60,2287,kinase
598,4165,literature;signaling
2719,3804,complexes;literature
1622,2827,binary;literature;signaling
27,4780,signaling
1664,5181,metabolic
1037,1049,literature;signaling
166,2398,literature;signaling
2657,2666,complexes
5485,5493,literature
4716,4716,literature
794,1296,literature
4082,4267,literature
3746,4082,complexes;literature
144,3581,complexes;literature
1232,4290,signaling
4356,4357,literature
4064,4253,regulatory
1983,2305,binary
1522,5259,binary;literature
1389,2478,literature
435,1321,literature
1013,1345,complexes
5136,5447,literature;signaling
1660,1660,literature
198,3278,complexes
744,2746,regulatory
2528,2823,literature;signaling
587,2314,binary
1636,4653,literature
1239,4161,literature
1981,3730,literature
69,2287,kinase
2173,3621,literature;signaling
3899,4163,binary;kinase
2170,4325,literature;signaling
2032,5289,literature
1965,5223,binary;literature;signaling
2723,2936,metabolic
3397,5519,literature
1599,3397,kinase
2429,2463,literature;signaling
3563,3568,literature;signaling
2534,4133,literature
842,2248,literature;signaling
2494,3621,literature;signaling
1112,2448,metabolic
2127,4892,literature
2022,4994,literature
756,761,binary
2385,4455,literature
215,2037,literature;signaling
847,1313,literature
445,3371,literature
1916,4163,literature;signaling;kinase
5289,5445,literature;signaling
4517,5447,literature;signaling
1112,1161,metabolic
82,2453,kinase
51,2567,literature;signaling
1345,2111,literature
2365,4142,kinase
3088,3451,literature;signaling
631,3063,literature;signaling
338,3533,binary;literature;signaling
795,1030,complexes
1751,1751,binary;literature
933,4192,binary;literature
240,4405,literature
1916,3153,signaling
272,4087,literature
134,2884,literature;signaling
647,1286,signaling
82,2384,kinase
2012,4305,literature;signaling
1640,4640,complexes
1979,2939,complexes
2691,2691,literature
2590,2590,literature
3808,4736,complexes
1002,2225,literature;signaling
829,4395,metabolic
1487,5133,literature
871,1916,literature;signaling
1780,2203,complexes;literature;signaling
3365,4885,kinase
1431,1431,literature
1043,4463,literature;signaling
1006,2120,literature;signaling
1644,2663,metabolic
2360,2360,literature
1428,1664,metabolic
1005,1005,literature
4021,4455,binary;literature;signaling
1323,1815,complexes
1737,3550,binary;literature;signaling
60,4341,kinase
3283,4934,binary;literature
3612,3777,binary;literature
4120,4955,complexes;literature;signaling
2380,4049,literature
1389,2600,literature
4122,5079,regulatory
3979,4586,binary
3797,4383,complexes
1305,2800,literature
252,4559,literature
257,257,literature
2919,5289,literature;signaling
2600,4120,literature;signaling
95,4735,literature
82,3612,kinase
2279,2279,literature;kinase
573,4434,metabolic
3481,3481,binary;literature
2363,2363,literature
809,809,literature
2550,5135,metabolic
2290,4673,literature;signaling
460,4454,kinase
3007,5022,literature
4760,5211,literature
1504,1524,binary
1898,3661,metabolic
984,3893,literature
668,3397,literature;signaling
1394,2874,literature
2942,3366,complexes
4355,4673,literature;signaling
4449,5211,complexes;literature
3627,3801,literature
599,1001,binary;literature
1295,1780,binary;literature
4194,4787,literature
2505,5051,literature;signaling
933,1135,literature
942,2176,literature;signaling
2483,4120,literature;signaling
154,5505,literature
3996,3996,literature
373,3786,complexes
918,2222,regulatory
2719,3962,literature;signaling
4495,4996,literature
1171,5149,binary
2009,3725,literature;signaling
2317,2492,binary
2032,2525,literature
47,4258,literature
1326,5503,complexes;literature
2213,2215,literature;signaling
950,2706,literature
626,4466,literature
1796,2108,metabolic
2423,4338,literature
1786,2416,literature;signaling
1446,3395,literature
3038,5289,literature
2645,2646,complexes
1345,2306,regulatory
1947,2006,literature
950,2359,literature;signaling
2707,3063,complexes
4290,4618,signaling
1897,1966,metabolic
2287,2287,literature
1976,4078,complexes
2311,4365,binary;literature
3220,3904,binary;literature;signaling
2001,2425,literature;signaling
3594,3681,literature
5187,5224,binary;literature;signaling
1326,2027,complexes
647,4161,kinase
2590,2760,metabolic
2624,5559,literature
2427,4846,literature
2701,5519,kinase
1892,3337,literature;signaling
2808,4001,literature;signaling
1570,3423,kinase
2384,4303,literature;signaling
1296,1571,literature
4085,4145,complexes
3618,4494,literature;signaling
166,4325,literature;signaling
3537,4019,literature;signaling
3868,4161,regulatory
981,4661,literature
2737,2747,literature
954,4414,literature
3395,3612,kinase
4792,5207,literature
4965,5505,literature
1129,5121,literature;signaling
765,2423,literature
864,4142,binary;literature
137,2646,literature
2513,2816,literature;signaling
4112,4414,binary
3998,4188,literature;signaling
299,3730,literature;signaling
2680,2680,literature
3515,3790,literature
1006,3063,literature;signaling
1555,5395,literature;signaling
299,3178,literature;signaling;kinase
3245,4100,complexes
3445,5402,kinase
2461,5003,literature
1810,4741,literature;signaling
665,3995,binary;literature;signaling
2680,3818,literature;signaling
3814,5084,literature
4086,4180,literature
4098,5503,complexes
543,931,binary;literature;signaling
2184,2602,literature;signaling
328,4161,literature
2754,2754,literature
2299,4994,literature
199,1141,literature
3791,5503,literature
1140,2307,binary
1592,4965,literature
1974,3788,complexes;literature
1157,4173,literature
2633,4149,complexes
1216,2002,literature
3395,4999,literature;signaling;kinase
1224,2426,literature
3153,4078,complexes;literature
13,2472,binary;literature
624,4242,literature
4290,4363,signaling
3028,4884,literature
1715,5495,complexes
3614,4163,literature;signaling
681,3721,literature;signaling
1137,1137,literature
5107,5314,literature
5159,5160,literature;signaling
2617,2719,literature
4981,4999,binary;literature
634,634,literature
3323,4134,binary;literature;signaling
3684,4585,literature
552,3194,literature
1899,2835,metabolic
2820,4325,complexes;literature;signaling
158,4078,literature;signaling
842,1786,literature
391,3454,literature;signaling
792,1957,signaling
184,3572,literature;signaling
1826,3747,literature;signaling
1325,2939,complexes
2466,3770,binary
537,684,literature;signaling
1905,3550,binary;literature;signaling
1714,1715,complexes;literature
480,1983,binary
745,4143,metabolic
1840,3122,complexes
1688,4493,literature
1226,4564,literature
298,2945,metabolic
52,1207,literature;signaling
152,2168,binary
1478,2697,complexes
1981,3304,literature
1920,3683,complexes
1326,3319,literature
272,981,binary;literature;signaling
2632,4325,regulatory;binary;literature;signaling
3597,4414,literature
4449,5383,complexes
2171,2712,literature;signaling
1350,4626,signaling
301,2501,binary
3811,4736,complexes
2312,4188,metabolic
5413,5413,binary;literature
1325,4890,complexes
94,3543,complexes
375,1396,binary
2723,2952,metabolic
160,1592,literature
1977,2027,literature
2974,4025,binary;literature
799,3804,complexes;literature
2187,4537,binary;literature
3197,3434,literature;signaling;kinase
1732,3292,literature
933,4110,literature;signaling
2037,2088,literature
759,759,binary
2560,2561,complexes;literature
681,4223,literature
281,4129,binary
3979,4326,binary
1833,4086,literature
2889,3088,metabolic
1162,1214,literature;signaling
3112,5245,complexes
1707,1975,literature
2188,2478,literature;signaling
60,3435,kinase
2530,3479,literature;signaling
3063,4269,literature;signaling
2659,5252,kinase
360,2372,complexes;literature
1199,5066,binary
3059,4334,kinase
2347,4548,literature
70,1803,kinase
1135,2190,literature
2120,5314,literature
730,1972,regulatory
5176,5561,literature;signaling
878,977,literature;signaling
1780,4466,literature
108,2341,literature
1947,2754,literature
2196,4445,literature;signaling
3395,3749,literature;signaling;kinase
4019,4960,literature;signaling
3237,4755,literature
1326,3801,literature
259,5400,literature
42,1560,complexes
582,4492,literature
3543,5503,complexes
2659,4248,binary;literature;signaling;kinase
1974,1975,complexes;literature
756,4538,literature;signaling
431,2305,binary
4344,5439,binary;literature;signaling
1892,4490,literature;signaling
4325,4449,literature
2359,4163,literature
2480,2480,literature
1329,3730,literature;signaling
2463,5131,literature
1569,1833,signaling
2453,4955,literature;signaling
745,3169,literature
3,2706,kinase
2285,2704,literature;signaling
457,575,literature
1833,3696,kinase
154,2802,literature
493,1570,binary;literature
867,4906,metabolic
3038,4448,literature
4377,5283,signaling
3788,4917,literature
1505,4448,literature
3086,3087,literature;signaling
3791,3808,complexes
2301,2525,literature
3217,5515,literature
1865,1866,binary;literature
2877,4161,signaling
2291,3441,literature
5026,5026,literature
2105,2526,literature;signaling
393,977,literature
3746,4194,complexes;literature
2026,4791,literature
4482,4482,binary;literature
4080,4161,literature;signaling
1981,3787,complexes;literature
1779,3851,literature
2659,5044,kinase
683,3395,kinase
240,5411,literature
4192,5289,literature
1973,2449,metabolic
3746,4731,literature
60,907,literature
5056,5208,literature;signaling
1784,3696,literature
1571,4776,literature
3952,5162,literature
2697,3278,complexes
938,3360,literature
308,4290,signaling
3028,4194,complexes;literature
3157,4610,literature
680,3492,literature;signaling
449,4027,literature
2201,3447,binary;literature;signaling
3365,4481,literature;signaling;kinase
3827,4536,literature
1049,1298,literature;signaling
3554,3559,literature;signaling
3449,3449,kinase
54,54,literature
1830,3807,complexes
2285,2754,metabolic
873,5135,metabolic
373,3789,complexes
1264,4962,literature
681,3635,literature;signaling
2222,2628,literature;signaling
1419,2490,literature
498,2796,literature;signaling
2659,2788,literature;kinase
3369,3558,kinase
195,4942,literature;signaling
2002,2651,literature
1296,4264,literature
1780,1814,literature
1345,5037,literature;signaling
4305,4321,literature;signaling
3444,4728,literature;signaling
1194,5253,complexes
2644,2650,complexes
902,3395,literature;signaling
1423,3033,metabolic
1014,2187,kinase
2423,3568,literature;signaling
3019,3019,literature
954,3435,binary;literature;signaling;kinase
3395,3558,kinase
2300,3297,literature
1325,3794,literature
166,3642,binary;literature;signaling
2997,4759,literature
357,2314,binary
2222,3118,literature
680,5071,literature;signaling
2161,2978,complexes
423,4721,literature
86,795,complexes
907,3461,literature
787,4760,complexes
3971,3971,literature
723,735,metabolic
3027,3746,complexes;literature;signaling
1651,2723,metabolic
83,5065,literature;signaling
583,4780,complexes;literature;signaling
498,781,literature;signaling
473,2996,literature;signaling
1161,3026,metabolic
1984,2486,literature;signaling
907,3441,kinase
3730,4163,literature;signaling
2365,3395,kinase
2048,2581,literature
2176,5208,literature;signaling
4011,4404,literature;signaling
3067,5519,literature;signaling
1345,2690,literature;signaling
2029,3366,kinase
109,3420,binary
2163,2796,kinase
2325,5066,binary
127,2679,literature
2638,3640,complexes
3817,4831,literature;signaling
85,5261,kinase
85,4343,binary
1976,2962,signaling
3059,5147,binary;literature
139,5122,literature;signaling
1690,4501,literature;signaling
1823,5499,literature;signaling
1014,4363,literature;signaling;kinase
1126,3024,metabolic
2697,3811,complexes
2199,2683,literature;signaling
109,786,binary
3909,5117,literature
1888,2706,literature
933,5505,literature
2379,3365,literature;signaling;kinase
198,3801,literature
2986,3984,metabolic
