Disease1,Disease2,Sim
2,345,0.056818182
2,351,0.055384615
2,352,0.09375
2,361,0.054945055
2,363,0.191780822
2,371,0.056818182
2,373,0.06944444400000001
2,376,0.446808511
2,379,0.18
2,380,0.071428571
2,390,0.047244094
2,403,0.0625
2,410,0.06936416200000001
2,415,0.05106383
2,424,0.056362084000000014
2,430,0.054054054
2,436,0.088888889
2,452,0.050697085
2,453,0.06818181799999999
3,5,0.112149533
3,10,0.110091743
3,19,0.023622047
3,22,0.04587156
3,29,0.202247191
3,31,0.068571429
3,43,0.107142857
3,47,0.202247191
3,54,0.094736842
3,55,0.144578313
3,57,0.088235294
3,60,0.069230769
3,65,0.030612245
3,67,0.126315789
3,69,0.112149533
3,74,0.08035714299999999
3,77,0.041594454
3,79,0.097826087
3,81,0.074074074
3,91,0.108433735
3,93,0.185185185
3,97,0.072580645
3,103,0.036036036
3,106,0.215311005
3,112,0.091836735
3,114,0.131868132
3,116,0.019417476
3,117,0.036036036
3,118,0.07826087
3,122,0.088235294
3,146,0.107142857
3,148,0.098360656
3,149,0.050632911
3,157,0.15328467199999998
3,160,0.09375
3,161,0.223255814
3,163,0.087804878
3,168,0.061728395
3,175,0.033333333
3,187,0.097826087
3,191,0.114285714
3,197,0.06122449
3,212,0.449541284
3,217,0.019323671
3,224,0.08490566
3,232,0.045977011
3,233,0.033333333
3,235,0.475409836
3,240,0.047058824000000006
3,244,0.230769231
3,250,0.097826087
3,252,0.097826087
3,257,0.033707865
3,259,0.042105263
3,260,0.08510638300000001
3,271,0.12371134
3,276,0.100840336
3,280,0.193548387
3,281,0.144578313
3,282,0.071428571
3,288,0.213270142
3,294,0.071428571
3,301,0.108433735
3,304,0.030612245
3,309,0.12371134
3,310,0.092307692
3,315,0.107142857
3,316,0.112149533
3,335,0.237668161
3,340,0.074380165
3,343,0.053763441
3,344,0.083333333
3,353,0.081818182
3,355,0.131868132
3,363,0.091836735
3,368,0.08530805699999999
3,369,0.021978022000000003
3,375,0.094736842
3,379,0.032
3,382,0.126315789
3,383,0.064516129
3,396,0.185185185
3,404,0.037825059
3,407,0.185185185
3,414,0.063829787
3,415,0.343859649
3,417,0.088235294
3,421,0.126315789
3,426,0.107142857
3,440,0.126315789
4,0,0.13636363599999998
4,2,0.09375
4,6,0.145454545
4,10,0.130434783
4,12,0.046511628
4,13,0.428571429
4,14,0.1125
4,23,0.134328358
4,26,0.096
4,38,0.130434783
4,41,0.109756098
4,53,0.320512821
4,61,0.294117647
4,64,0.28125
4,65,0.037037037
4,66,0.107142857
4,69,0.133333333
4,70,0.428571429
4,75,0.232044199
4,77,0.141453831
4,80,0.115384615
4,84,0.12543554
4,86,0.037037037
4,88,0.098360656
4,92,0.385714286
4,104,0.10041841
4,107,0.2617398
4,109,0.130434783
4,112,0.111111111
4,113,0.320512821
4,116,0.034883721
4,127,0.111111111
4,129,0.474226804
4,130,0.108433735
4,132,0.12244898
4,143,0.096
4,149,0.295566502
4,151,0.037037037
4,154,0.348837209
4,155,0.140350877
4,158,0.1875
4,166,0.428571429
4,175,0.04109589
4,184,0.283464567
4,193,0.098901099
4,194,0.112676056
4,199,0.181818182
4,202,0.22784810100000005
4,206,0.12676056300000002
4,210,0.181818182
4,214,0.04109589
4,217,0.208092486
4,221,0.325732899
4,223,0.330532213
4,225,0.22784810100000005
4,227,0.15894039699999998
4,233,0.04109589
4,234,0.2617398
4,238,0.166666667
4,240,0.271493213
4,246,0.16438356199999998
4,248,0.428571429
4,255,0.111111111
4,256,0.476190476
4,258,0.349775785
4,260,0.025352113
4,271,0.15
4,276,0.117647059
4,278,0.133704735
4,280,0.078947368
4,291,0.181818182
4,292,0.162162162
4,297,0.18556701
4,302,0.130434783
4,303,0.15894039699999998
4,304,0.037037037
4,306,0.226415094
4,309,0.15
4,316,0.066666667
4,324,0.424710425
4,327,0.033210332
4,335,0.095238095
4,345,0.3125
4,351,0.330532213
4,352,0.5555555560000001
4,357,0.092783505
4,361,0.303030303
4,363,0.111111111
4,371,0.3125
4,373,0.1125
4,376,0.039215686
4,379,0.037037037
4,380,0.130434783
4,390,0.244444444
4,393,0.040540541
4,403,0.340909091
4,410,0.222222222
4,415,0.09561753
4,424,0.2617398
4,430,0.328358209
4,436,0.15894039699999998
4,452,0.248534584
4,453,0.125
5,3,0.112149533
5,10,0.109090909
5,19,0.0234375
5,29,0.2
5,43,0.247058824
5,47,0.2
5,54,0.09375
5,55,0.333333333
5,67,0.125
5,69,0.111111111
5,74,0.079646018
5,79,0.096774194
5,81,0.073170732
5,97,0.168
5,103,0.035714286
5,112,0.090909091
5,114,0.130434783
5,117,0.035714286
5,118,0.077586207
5,122,0.32038835
5,146,0.247058824
5,148,0.097297297
5,149,0.050209205
5,160,0.092783505
5,187,0.096774194
5,191,0.226415094
5,212,0.109090909
5,232,0.045454545
5,235,0.097560976
5,250,0.096774194
5,252,0.096774194
5,259,0.041666667
5,271,0.12244898
5,276,0.3666666670000001
5,280,0.191489362
5,281,0.14285714300000002
5,309,0.12244898
5,310,0.091370558
5,315,0.247058824
5,316,0.111111111
5,335,0.066666667
5,340,0.07377049200000001
5,344,0.08256880700000001
5,353,0.081081081
5,355,0.304347826
5,363,0.090909091
5,368,0.08450704199999999
5,379,0.031746032
5,382,0.125
5,383,0.063829787
5,404,0.037470726
5,414,0.06329113900000001
5,415,0.083623693
5,417,0.08737864099999999
5,421,0.125
5,426,0.105882353
5,440,0.125
6,0,0.015228426000000003
6,2,0.080536913
6,4,0.145454545
6,10,0.117073171
6,12,0.196891192
6,13,0.111801242
6,14,0.099447514
6,16,0.075376884
6,19,0.024896266
6,26,0.121771218
6,30,0.031446541
6,31,0.012345678999999998
6,38,0.117073171
6,53,0.237288136
6,56,0.012232416
6,59,0.081545064
6,61,0.124444444
6,62,0.039787798
6,64,0.563758389
6,65,0.032786885
6,66,0.14285714300000002
6,69,0.119402985
6,70,0.111801242
6,71,0.031446541
6,75,0.118811881
6,77,0.137931034
6,80,0.126637555
6,84,0.109422492
6,86,0.032786885
6,88,0.109433962
6,92,0.156146179
6,95,0.022222222000000003
6,103,0.04784689
6,104,0.092307692
6,107,0.075664622
6,109,0.117073171
6,112,0.098360656
6,113,0.237288136
6,116,0.031088083
6,117,0.04784689
6,126,0.08808290199999999
6,129,0.16744186
6,131,0.025806452
6,132,0.133640553
6,141,0.082872928
6,142,0.032679739
6,143,0.019184652
6,149,0.089285714
6,154,0.093264249
6,155,0.010416667
6,158,0.169014085
6,161,0.00990099
6,166,0.111801242
6,169,0.02994012
6,170,0.018518519
6,171,0.011627907
6,174,0.16981132100000002
6,175,0.035928144
6,179,0.027322404
6,182,0.019354839
6,184,0.08205841400000001
6,189,0.181318681
6,193,0.221674877
6,194,0.102564103
6,200,0.060402685
6,202,0.201117318
6,204,0.029239766
6,208,0.011627907
6,211,0.030456853
6,214,0.035928144
6,217,0.18556701
6,219,0.098039216
6,221,0.094555874
6,223,0.288220551
6,225,0.223463687
6,227,0.139534884
6,232,0.062111801
6,233,0.035928144
6,234,0.075664622
6,235,0.021645022000000003
6,238,0.036363636
6,240,0.148760331
6,248,0.111801242
6,249,0.052941176
6,251,0.009584665
6,256,0.126984127
6,258,0.147540984
6,259,0.169491525
6,261,0.033149171
6,262,0.035928144
6,263,0.057803468
6,266,0.023188406
6,271,0.132596685
6,276,0.106666667
6,277,0.025906736
6,278,0.144638404
6,280,0.06936416200000001
6,290,0.025906736
6,291,0.156862745
6,297,0.186046512
6,298,0.019230769
6,302,0.117073171
6,303,0.139534884
6,304,0.032786885
6,306,0.211111111
6,309,0.132596685
6,316,0.059701493
6,322,0.081967213
6,324,0.078571429
6,325,0.028248588
6,326,0.067114094
6,335,0.085714286
6,338,0.00896861
6,345,0.08450704199999999
6,349,0.008658009
6,351,0.082706767
6,352,0.145454545
6,357,0.069767442
6,359,0.018518519
6,360,0.007407406999999999
6,361,0.08219178099999999
6,363,0.098360656
6,364,0.254237288
6,366,0.009118541
6,371,0.08450704199999999
6,373,0.099447514
6,376,0.075555556
6,379,0.033755274
6,380,0.117073171
6,381,0.012738854
6,387,0.490909091
6,389,0.031446541
6,390,0.099656357
6,401,0.031446541
6,403,0.091370558
6,409,0.031446541
6,410,0.114285714
6,415,0.088235294
6,418,0.033149171
6,420,0.127659574
6,424,0.075664622
6,429,0.022222222000000003
6,430,0.09009009
6,435,0.009345794
6,436,0.139534884
6,438,0.01910828
6,444,0.007955449
6,450,0.031055901
6,452,0.089647812
6,453,0.136150235
7,8,0.014084507
7,15,0.073170732
7,18,0.023255814
7,20,0.101123596
7,26,0.037878788
7,28,0.8012422359999999
7,34,0.021505376
7,36,0.022727273
7,39,0.244299674
7,46,0.123287671
7,52,0.047619048
7,59,0.026548673
7,60,0.075
7,67,0.05882352900000001
7,76,0.021505376
7,78,0.060402685
7,82,0.073170732
7,85,0.02247191
7,99,0.056603774
7,104,0.063241107
7,111,0.052023121
7,124,0.052631579000000005
7,135,0.035502959
7,137,0.049342105
7,138,0.04950495
7,150,0.616438356
7,165,0.04950495
7,176,0.056603774
7,177,0.108433735
7,179,0.022727273
7,190,0.081081081
7,194,0.0969163
7,216,0.022727273
7,228,0.33
7,231,0.015384615
7,239,0.282608696
7,245,0.108433735
7,247,0.026548673
7,264,0.03030303
7,268,0.17073170699999998
7,273,0.057692308
7,279,0.045454545
7,295,0.388235294
7,308,0.063492063
7,317,0.211267606
7,319,0.045918367
7,320,0.02173913
7,329,0.048859935
7,330,0.075949367
7,338,0.027777778
7,350,0.057324841
7,360,0.061381074
7,362,0.016304348
7,365,0.030927835
7,370,0.027027027
7,374,0.07253886
7,377,0.09
7,386,0.081081081
7,391,0.075949367
7,392,0.058441558
7,395,0.071428571
7,399,0.032258065
7,406,0.06818181799999999
7,408,0.017857143
7,412,0.025210084
7,413,0.096774194
7,419,0.053571429
7,440,0.05882352900000001
7,441,0.073170732
7,443,0.058441558
7,445,0.014084507
7,447,0.032258065
8,7,0.014084507
8,15,0.014827018
8,18,0.649452269
8,20,0.025641026
8,26,0.032770606
8,28,0.008403361
8,34,0.038848921
8,36,0.041221374
8,39,0.005309735
8,46,0.031775701
8,52,0.007072136
8,59,0.040935673
8,60,0.018660812
8,67,0.05229794
8,76,0.038848921
8,78,0.009140768
8,82,0.014827018
8,85,0.040723982
8,94,0.077071291
8,99,0.008517888000000001
8,100,0.066024759
8,104,0.040498442
8,106,0.101838755
8,108,0.058224163
8,111,0.00777605
8,124,0.037974684
8,135,0.027113238
8,137,0.005366726
8,138,0.035573123
8,150,0.031775701
8,158,0.15483871
8,165,0.005385996
8,176,0.008517888000000001
8,177,0.027642276
8,179,0.041221374
8,190,0.016574586000000002
8,194,0.050058207
8,216,0.041221374
8,226,0.131147541
8,228,0.022636485
8,231,0.020519836
8,239,0.013100437
8,243,0.09486166
8,245,0.027642276
8,247,0.059649123
8,253,0.063391442
8,254,0.060331825
8,264,0.068640646
8,267,0.059612519
8,268,0.014827018
8,273,0.011494253
8,274,0.134579439
8,279,0.020188425
8,295,0.026941363
8,300,0.109923664
8,308,0.015490534
8,314,0.060331825
8,317,0.063583815
8,319,0.006802720999999999
8,320,0.03930131
8,329,0.005309735
8,330,0.015437393
8,338,0.062576687
8,350,0.008635579
8,353,0.09587217
8,360,0.036834925
8,362,0.021834061
8,365,0.070151307
8,370,0.060786651
8,374,0.02351314
8,375,0.190174326
8,377,0.022636485
8,386,0.016574586000000002
8,391,0.015437393
8,392,0.008818342
8,395,0.014446228
8,399,0.073381295
8,406,0.077862595
8,408,0.024077047
8,412,0.018826135
8,413,0.024460432
8,419,0.031877214
8,434,0.060331825
8,440,0.156893819
8,441,0.014827018
8,443,0.008818342
8,445,0.566101695
8,447,0.073381295
8,451,0.119727891
9,1,0.011857708
9,17,0.141104294
9,21,0.031446541
9,22,0.222857143
9,35,0.12195122
9,37,0.145907473
9,40,0.177865613
9,44,0.03649635
9,45,0.238095238
9,50,0.311258278
9,51,0.111111111
9,54,0.020408163
9,74,0.049723757
9,79,0.078014184
9,83,0.111111111
9,87,0.024
9,89,0.011857708
9,96,0.182432432
9,98,0.024
9,100,0.192982456
9,118,0.05882352900000001
9,119,0.011857708
9,123,0.069033531
9,125,0.023474178
9,128,0.026455026
9,136,0.36
9,140,0.222929936
9,153,0.181818182
9,156,0.040650407
9,164,0.011857708
9,167,0.024
9,172,0.08300395299999999
9,173,0.040650407
9,178,0.12195122
9,180,0.032679739
9,181,0.024
9,187,0.078014184
9,188,0.111111111
9,196,0.062937063
9,201,0.12195122
9,205,0.024
9,207,0.085365854
9,220,0.027027027
9,222,0.111111111
9,228,0.016949153
9,236,0.12195122
9,241,0.420118343
9,243,0.061452514000000014
9,250,0.078014184
9,252,0.078014184
9,267,0.23566879
9,269,0.36
9,270,0.16883116899999998
9,272,0.177865613
9,283,0.009861933
9,286,0.36
9,299,0.07200000000000001
9,310,0.013157895
9,311,0.220338983
9,312,0.168
9,313,0.240875912
9,314,0.058064516
9,319,0.01734104
9,321,0.060402685
9,323,0.202312139
9,332,0.12195122
9,333,0.08300395299999999
9,334,0.2
9,337,0.238095238
9,339,0.06122449
9,340,0.195979899
9,341,0.027027027
9,342,0.015873016
9,344,0.225433526
9,346,0.168
9,347,0.238095238
9,349,0.024875622000000003
9,353,0.062146893
9,358,0.011857708
9,367,0.12195122
9,368,0.029761905
9,385,0.177865613
9,388,0.024
9,397,0.015873016
9,402,0.024
9,411,0.111111111
9,414,0.026041667
9,417,0.031055901
9,422,0.12195122
9,427,0.181818182
9,432,0.111111111
9,434,0.329032258
9,439,0.040650407
9,446,0.08300395299999999
9,448,0.138461538
9,449,0.36
10,2,0.214285714
10,3,0.110091743
10,4,0.130434783
10,5,0.109090909
10,6,0.117073171
10,12,0.113207547
10,13,0.1
10,14,0.09
10,19,0.023076923
10,26,0.117241379
10,29,0.195652174
10,38,0.107142857
10,43,0.103448276
10,47,0.195652174
10,53,0.076530612
10,54,0.091836735
10,55,0.139534884
10,61,0.07377049200000001
10,64,0.214285714
10,65,0.089108911
10,66,0.144230769
10,67,0.12244898
10,69,0.527272727
10,70,0.1
10,74,0.07826087
10,75,0.108597285
10,77,0.122241087
10,79,0.094736842
10,80,0.096774194
10,81,0.071428571
10,84,0.098092643
10,86,0.089108911
10,88,0.08450704199999999
10,92,0.05625
10,97,0.165354331
10,103,0.035087719
10,104,0.086021505
10,107,0.063001853
10,109,0.107142857
10,112,0.445544554
10,113,0.076530612
10,114,0.29787234
10,116,0.08490566
10,117,0.035087719
10,118,0.07627118599999999
10,122,0.085714286
10,129,0.153846154
10,132,0.101694915
10,146,0.103448276
10,148,0.095238095
10,149,0.12345679
10,154,0.08490566
10,158,0.155172414
10,160,0.090909091
10,166,0.1
10,175,0.096774194
10,184,0.067924528
10,187,0.094736842
10,191,0.111111111
10,193,0.126126126
10,194,0.09486166
10,202,0.181818182
10,212,0.107142857
10,214,0.096774194
10,217,0.169014085
10,221,0.07751938
10,223,0.109839817
10,225,0.181818182
10,227,0.12565445
10,232,0.044444444000000013
10,233,0.096774194
10,234,0.063001853
10,235,0.096
10,240,0.068965517
10,248,0.1
10,250,0.094736842
10,252,0.094736842
10,256,0.115384615
10,258,0.174904943
10,259,0.040816327
10,271,0.4
10,276,0.327868852
10,278,0.109339408
10,280,0.625
10,281,0.139534884
10,291,0.139534884
10,297,0.222222222
10,302,0.107142857
10,303,0.12565445
10,304,0.089108911
10,306,0.180904523
10,309,0.4
10,310,0.089552239
10,315,0.103448276
10,316,0.381818182
10,324,0.120401338
10,335,0.144104803
10,340,0.072580645
10,344,0.081081081
10,345,0.077586207
10,351,0.068649886
10,352,0.130434783
10,353,0.079646018
10,355,0.127659574
10,361,0.075630252
10,363,0.445544554
10,368,0.082949309
10,371,0.077586207
10,373,0.09
10,376,0.098360656
10,379,0.125
10,380,0.107142857
10,382,0.28571428600000004
10,383,0.0625
10,390,0.077419355
10,403,0.083333333
10,404,0.036781609
10,410,0.104803493
10,414,0.062240664
10,415,0.24742268
10,417,0.085714286
10,421,0.28571428600000004
10,424,0.063001853
10,426,0.103448276
10,430,0.074688797
10,436,0.12565445
10,440,0.12244898
10,452,0.07107601200000001
10,453,0.103448276
11,0,0.033333333
11,21,0.046511628
11,25,0.3
11,48,0.043478261
11,104,0.172839506
11,124,0.044444444000000013
11,128,0.207920792
11,138,0.041666667
11,158,0.06122449
11,162,0.107913669
11,180,0.253012048
11,186,0.075
11,198,0.090909091
11,207,0.372881356
11,216,0.144578313
11,220,0.03030303
11,231,0.227027027
11,239,0.137931034
11,246,0.28
11,264,0.127659574
11,275,0.037037037
11,287,0.670588235
11,318,0.780821918
11,324,0.045627376
11,341,0.03030303
11,365,0.065217391
11,390,0.04379562
11,398,0.25179856100000003
11,412,0.245614035
11,428,0.044444444000000013
12,2,0.230769231
12,4,0.046511628
12,6,0.196891192
12,10,0.113207547
12,13,0.035714286
12,14,0.031914894
12,19,0.129032258
12,26,0.06474820099999999
12,38,0.037735849
12,53,0.222826087
12,61,0.198275862
12,62,0.061381074
12,64,0.076923077
12,65,0.094736842
12,66,0.091836735
12,69,0.096153846
12,70,0.035714286
12,75,0.038277512
12,77,0.042477876
12,80,0.033898305
12,84,0.034985423
12,86,0.094736842
12,88,0.029411765
12,92,0.019480519
12,103,0.185185185
12,104,0.029962547000000006
12,107,0.02232436
12,109,0.037735849
12,112,0.084210526
12,113,0.222826087
12,116,0.09
12,117,0.185185185
12,129,0.054054054
12,131,0.061728395
12,132,0.035714286
12,143,0.046403712
12,149,0.025974026
12,154,0.03
12,158,0.054545455
12,166,0.035714286
12,174,0.21686747
12,175,0.103448276
12,184,0.024096386
12,189,0.253968254
12,193,0.076190476
12,194,0.033195021
12,202,0.064516129
12,211,0.05882352900000001
12,214,0.103448276
12,217,0.059701493
12,221,0.027548209
12,223,0.03874092
12,225,0.11827957
12,227,0.044692737
12,232,0.095238095
12,233,0.103448276
12,234,0.02232436
12,238,0.069767442
12,240,0.144578313
12,248,0.035714286
12,256,0.040816327
12,258,0.08764940199999999
12,259,0.260869565
12,261,0.063829787
12,262,0.068965517
12,263,0.222222222
12,266,0.16713091900000002
12,271,0.042553191
12,276,0.034482759
12,278,0.038554217
12,280,0.2
12,291,0.05
12,297,0.315315315
12,298,0.055214724000000014
12,302,0.037735849
12,303,0.044692737
12,304,0.094736842
12,306,0.064171123
12,309,0.042553191
12,316,0.134615385
12,324,0.083623693
12,326,0.102564103
12,335,0.02764977
12,345,0.027272727000000004
12,351,0.024213075
12,352,0.046511628
12,361,0.026548673
12,363,0.084210526
12,364,0.260869565
12,371,0.027272727000000004
12,373,0.031914894
12,376,0.103448276
12,379,0.098360656
12,380,0.037735849
12,387,0.418604651
12,390,0.026845638
12,403,0.029411765
12,410,0.036866359
12,415,0.028673835
12,418,0.191489362
12,420,0.486486486
12,424,0.02232436
12,430,0.026200873
12,436,0.044692737
12,452,0.062176166
12,453,0.036363636
13,0,0.104651163
13,2,0.08064516099999999
13,4,0.428571429
13,6,0.111801242
13,10,0.1
13,12,0.035714286
13,14,0.076923077
13,23,0.092307692
13,26,0.073170732
13,38,0.1
13,41,0.075
13,53,0.197368421
13,61,0.2
13,64,0.241935484
13,65,0.025316456
13,66,0.073170732
13,69,0.102272727
13,70,0.294117647
13,75,0.169491525
13,77,0.119760479
13,80,0.088235294
13,84,0.086021505
13,86,0.025316456
13,88,0.075
13,92,0.144927536
13,104,0.076595745
13,107,0.14206787699999998
13,109,0.1
13,112,0.075949367
13,113,0.197368421
13,116,0.023809524
13,127,0.06870229
13,129,0.378947368
13,130,0.074074074
13,132,0.09375
13,143,0.065395095
13,149,0.32160804
13,151,0.022900763
13,154,0.238095238
13,155,0.107784431
13,158,0.159574468
13,166,0.294117647
13,175,0.028169014
13,184,0.161550889
13,193,0.06741573
13,194,0.08612440199999999
13,199,0.140625
13,202,0.194805195
13,206,0.086956522
13,210,0.140625
13,214,0.028169014
13,217,0.177514793
13,221,0.361204013
13,223,0.361031519
13,225,0.194805195
13,227,0.12244898
13,233,0.028169014
13,234,0.14206787699999998
13,238,0.128571429
13,240,0.184331797
13,246,0.12676056300000002
13,248,0.294117647
13,255,0.06870229
13,256,0.365853659
13,258,0.264840183
13,260,0.014409222
13,271,0.115384615
13,276,0.09
13,278,0.102564103
13,280,0.067567568
13,291,0.140625
13,292,0.125
13,297,0.15789473699999998
13,302,0.1
13,303,0.12244898
13,304,0.025316456
13,306,0.193548387
13,309,0.115384615
13,316,0.056818182
13,324,0.164705882
13,327,0.019011407
13,335,0.064864865
13,345,0.212765957
13,351,0.361031519
13,352,0.428571429
13,357,0.063157895
13,361,0.206185567
13,363,0.075949367
13,371,0.212765957
13,373,0.076923077
13,376,0.03
13,379,0.028301887
13,380,0.1
13,390,0.17293233100000002
13,393,0.027777778
13,403,0.23255814
13,410,0.162162162
13,415,0.072874494
13,424,0.14206787699999998
13,430,0.233502538
13,436,0.12244898
13,452,0.15770609300000002
13,453,0.095744681
14,2,0.06944444400000001
14,4,0.1125
14,6,0.099447514
14,10,0.09
14,12,0.031914894
14,13,0.076923077
14,26,0.067669173
14,27,0.220264317
14,38,0.48
14,41,0.066666667
14,52,0.015706806
14,53,0.052325581
14,58,0.08
14,60,0.115702479
14,61,0.054545455
14,64,0.208333333
14,65,0.02247191
14,66,0.065217391
14,69,0.091836735
14,70,0.076923077
14,75,0.091370558
14,77,0.11090573
14,80,0.08035714299999999
14,84,0.07523511
14,85,0.066666667
14,86,0.02247191
14,88,0.069230769
14,92,0.040540541
14,99,0.01863354
14,104,0.070588235
14,107,0.054660126
14,109,0.48
14,110,0.08
14,112,0.06741573
14,113,0.052325581
